org,role,view,activity,context,theft,accident,max speed,bad places,auto pilot,delay,max km,respect road signs,weather,proba,decision
partner,normal,luxe,a1,peak,improbable,improbable,yes,no,always,no,yes,yes,rainy,0.73,denied
DZ VBM,l YDB,VSI,GA51,VWHX,probable,improbable,no,no,always,yes,yes,yes,cloudy,0.39,permitted
HV YSX,h QOW,BFN,HH70,USJP,improbable,probable,no,yes,always,yes,yes,no,windy,0.81,permitted
CV GEZ,w MPS,ASD,UC20,NNOF,improbable,probable,no,no,sometimes,no,no,yes,windy,0.66,permitted
FP BGU,v KKD,WOF,QT79,SNDO,probable,probable,no,yes,sometimes,yes,no,no,windy,0.78,permitted
AC VNJ,b ZKM,LAD,SC35,COZJ,probable,probable,yes,no,never,yes,no,yes,cloudy,0.53,denied
RT WEC,z ZRP,IIG,JD75,HEVT,improbable,improbable,yes,yes,sometimes,yes,yes,no,rainy,0.59,permitted
DJ NDQ,u FHB,TSV,AT52,QVYJ,probable,probable,no,no,sometimes,no,no,yes,stormy,0.26,permitted
GC YYA,t TQS,WDO,WF21,YYTE,probable,probable,yes,yes,never,yes,no,yes,cloudy,0.43,permitted
KC SGW,q EDG,INZ,NW51,FLHU,probable,probable,yes,yes,always,yes,yes,no,windy,0.54,denied
GS WIK,u SSO,IVU,CL46,AATR,probable,improbable,no,yes,sometimes,yes,no,yes,cloudy,0.39,permitted
CN VCK,c AYW,FGA,IA81,YIQT,improbable,improbable,yes,no,never,no,yes,yes,rainy,0.62,permitted
RK ZET,z NFE,PIN,HA49,KVIK,probable,probable,yes,no,never,no,yes,yes,cloudy,0.75,denied
UV YNG,h KGK,LHW,MH89,XVSH,probable,improbable,no,no,sometimes,yes,no,yes,cloudy,0.87,denied
MB IVH,k XFP,CRQ,OK89,LGDK,probable,probable,no,no,sometimes,yes,yes,yes,rainy,0.8,permitted
AJ LSZ,q HCF,PWR,HT35,IHZX,probable,improbable,no,yes,never,yes,yes,yes,cloudy,0.66,denied
ZC YDW,n GSZ,ZVR,OA31,UBTW,improbable,probable,no,yes,always,yes,no,yes,windy,0.27,permitted
NO VDC,x NIC,ZGX,WI15,JHLW,improbable,improbable,yes,no,never,yes,no,no,rainy,0.92,permitted
partner,vip,luxe,a2,peak,improbable,improbable,yes,no,always,no,no,yes,windy,0.21,permitted
VZ HVN,f VDQ,ICQ,NG99,GQTQ,probable,probable,yes,yes,sometimes,yes,no,no,sunny,0.14,permitted
caraccess,vip,luxe,a2,off,improbable,improbable,yes,no,sometimes,yes,yes,no,rainy,0.82,permitted
DV PJD,s DKV,WON,PZ24,XZQS,probable,probable,no,yes,sometimes,yes,yes,no,cloudy,0.18,permitted
partner,blacklisted,normal,a1,off,improbable,probable,no,yes,never,yes,no,yes,rainy,0.39,denied
partner,vip,normal,a3,peak,probable,probable,yes,yes,always,yes,yes,no,stormy,0.43,permitted
UY XBJ,p EDR,MAO,EB24,YEZG,probable,improbable,yes,no,always,yes,no,yes,windy,0.39,denied
caraccess,normal,normal,a1,peak,probable,probable,no,yes,never,no,no,yes,cloudy,0.84,permitted
KZ VSF,n SMU,XAD,JM36,FDGS,improbable,probable,no,yes,sometimes,no,yes,yes,windy,0.98,permitted
HV ZWM,k SLK,ZQJ,JA39,PYBG,improbable,improbable,yes,no,always,no,no,no,sunny,1.0,permitted
ZC WYA,v UNK,BQH,IJ50,HAJH,improbable,probable,no,yes,sometimes,no,yes,yes,stormy,0.38,permitted
IM UKZ,u PVQ,FRH,RR23,KRHH,probable,probable,yes,no,sometimes,no,no,no,cloudy,0.53,permitted
ZJ OWD,z ZBY,THU,LK26,PUUV,improbable,probable,yes,no,sometimes,no,yes,no,windy,0.02,permitted
VS YDM,y TNQ,XWW,KS67,GIXA,improbable,improbable,no,yes,sometimes,yes,yes,no,sunny,0.71,permitted
caraccess,normal,normal,a2,off,probable,probable,no,yes,sometimes,no,yes,no,windy,0.24,permitted
DX TGW,s NTR,PVL,IV01,RBIG,probable,improbable,no,no,never,no,yes,yes,windy,0.08,permitted
HU SXT,e ZXF,BGV,AD79,GOHU,improbable,probable,yes,no,sometimes,yes,yes,yes,rainy,0.43,denied
caraccess,normal,luxe,a3,peak,improbable,improbable,yes,no,sometimes,yes,yes,yes,sunny,0.91,denied
WH LNR,m HIT,FXJ,RT59,ELZO,improbable,improbable,yes,yes,sometimes,no,no,no,cloudy,0.01,permitted
MZ LUJ,l QOR,FOS,AZ24,WZMM,improbable,improbable,yes,yes,never,no,no,no,stormy,0.78,permitted
MO ZLZ,k OUX,UWW,GO40,KKCN,improbable,improbable,yes,yes,sometimes,no,no,no,sunny,0.42,permitted
others,vip,luxe,a3,off,improbable,improbable,yes,no,always,no,no,no,rainy,0.1,denied
RM RSU,l JVT,MLQ,ET52,QOLG,probable,improbable,yes,yes,sometimes,yes,yes,yes,sunny,0.14,permitted
others,blacklisted,luxe,a1,peak,improbable,improbable,yes,no,always,no,yes,no,sunny,0.01,denied
NS LGW,w DGX,SEC,ZM37,OYAB,probable,probable,yes,no,never,yes,yes,no,stormy,0.65,permitted
HZ WJO,y NLP,ADD,VC59,KNEG,probable,improbable,no,yes,sometimes,no,no,yes,rainy,0.56,permitted
NM GXG,n GRM,TXA,CP54,YDID,improbable,improbable,no,no,sometimes,yes,no,no,rainy,0.22,permitted
DZ VSH,a DZC,TWK,RO82,TYMJ,improbable,improbable,no,no,sometimes,yes,no,no,windy,0.84,permitted
BI DQY,y IFC,HXJ,MG95,VCET,improbable,probable,yes,yes,sometimes,no,yes,yes,windy,0.83,permitted
VK RFW,d GZT,YXC,IN87,WOPD,improbable,improbable,no,yes,sometimes,yes,yes,yes,stormy,0.72,permitted
caraccess,normal,normal,a1,off,improbable,probable,no,no,never,no,no,yes,sunny,0.12,permitted
VI VUN,x BLB,PYW,HX25,FSQZ,improbable,improbable,yes,yes,sometimes,yes,yes,yes,stormy,0.06,permitted
WF QAX,h GHX,TVZ,JT25,NVNE,probable,probable,no,yes,never,yes,no,no,cloudy,0.72,permitted
HM AIU,c KJI,LMA,QL71,FKSO,improbable,improbable,no,yes,sometimes,no,no,yes,rainy,0.22,permitted
caraccess,normal,normal,a3,peak,probable,probable,no,yes,never,yes,yes,no,cloudy,0.8,permitted
GU LXM,y HDV,PKT,IC38,TAGC,improbable,improbable,no,no,never,yes,yes,yes,sunny,0.27,permitted
others,normal,luxe,a3,peak,improbable,improbable,yes,no,always,yes,no,no,windy,0.64,permitted
OT CPO,s GHK,ZVU,LA54,FZLA,probable,improbable,no,yes,always,no,no,yes,rainy,0.72,permitted
YU XJV,a CRG,NNN,CD69,XPXT,improbable,improbable,no,no,sometimes,no,no,yes,stormy,0.26,permitted
FC PHB,l QLI,GIG,PM30,DEAP,improbable,probable,no,yes,always,yes,yes,yes,cloudy,0.41,denied
HS SGY,v ZSK,OCJ,HE76,IZMK,probable,improbable,yes,no,always,yes,yes,no,sunny,0.12,denied
ED LEE,c LCP,TNV,TE36,ZSPH,probable,probable,yes,no,never,yes,no,yes,windy,0.01,permitted
caraccess,vip,normal,a1,peak,probable,improbable,no,yes,never,no,yes,yes,stormy,0.68,permitted
FC BOP,k EWQ,NYI,TE04,JYTH,improbable,improbable,no,yes,always,yes,yes,no,cloudy,0.85,permitted
GK WBU,x UPR,TDD,UI70,IGDN,probable,improbable,yes,yes,never,no,no,yes,cloudy,0.08,permitted
WE DBO,i DMG,MJX,TW13,NXFI,improbable,improbable,no,no,never,no,yes,yes,windy,0.35,denied
IQ FBG,z IDI,CHR,YD56,KTPX,improbable,improbable,no,yes,sometimes,no,yes,no,cloudy,0.83,denied
HL LME,w WYE,DTE,XX61,SAAE,probable,improbable,yes,no,sometimes,no,no,yes,stormy,0.48,permitted
police,blacklisted,luxe,a2,off,improbable,improbable,no,no,sometimes,no,yes,yes,sunny,0.45,denied
