org,role,view,activity,context,proba,decision
partner,normal,luxe,a1,peak,0.73,denied
DZ VBM,l YDB,VSI,GA51,VWHX,0.39,permitted
HV YSX,h QOW,BFN,HH70,USJP,0.81,permitted
CV GEZ,w MPS,ASD,UC20,NNOF,0.66,permitted
FP BGU,v KKD,WOF,QT79,SNDO,0.78,permitted
AC VNJ,b ZKM,LAD,SC35,COZJ,0.53,denied
RT WEC,z ZRP,IIG,JD75,HEVT,0.59,permitted
DJ NDQ,u FHB,TSV,AT52,QVYJ,0.26,permitted
GC YYA,t TQS,WDO,WF21,YYTE,0.43,permitted
KC SGW,q EDG,INZ,NW51,FLHU,0.54,denied
GS WIK,u SSO,IVU,CL46,AATR,0.39,permitted
CN VCK,c AYW,FGA,IA81,YIQT,0.62,permitted
RK ZET,z NFE,PIN,HA49,KVIK,0.75,denied
UV YNG,h KGK,LHW,MH89,XVSH,0.87,denied
MB IVH,k XFP,CRQ,OK89,LGDK,0.8,permitted
AJ LSZ,q HCF,PWR,HT35,IHZX,0.66,denied
ZC YDW,n GSZ,ZVR,OA31,UBTW,0.27,permitted
NO VDC,x NIC,ZGX,WI15,JHLW,0.92,permitted
partner,vip,luxe,a2,peak,0.21,permitted
VZ HVN,f VDQ,ICQ,NG99,GQTQ,0.14,permitted
caraccess,vip,luxe,a2,off,0.82,permitted
DV PJD,s DKV,WON,PZ24,XZQS,0.18,permitted
partner,blacklisted,normal,a1,off,0.39,denied
partner,vip,normal,a3,peak,0.43,permitted
UY XBJ,p EDR,MAO,EB24,YEZG,0.39,denied
caraccess,normal,normal,a1,peak,0.84,permitted
KZ VSF,n SMU,XAD,JM36,FDGS,0.98,permitted
HV ZWM,k SLK,ZQJ,JA39,PYBG,1.0,permitted
ZC WYA,v UNK,BQH,IJ50,HAJH,0.38,permitted
IM UKZ,u PVQ,FRH,RR23,KRHH,0.53,permitted
ZJ OWD,z ZBY,THU,LK26,PUUV,0.02,permitted
VS YDM,y TNQ,XWW,KS67,GIXA,0.71,permitted
caraccess,normal,normal,a2,off,0.24,permitted
